amwriting 1044285651812839424 .41 .02 0 5 229 12 30398
writercommunity 1044285651812839424 .50 0 0 2 229 4 30398
author 1044285651812839424 .33 .07 0 17 229 51 30398
authorlife 1044285651812839424 .66 0 0 2 229 3 30398
writer 1044285651812839424 .65 .27 0 62 229 94 30398
BookRecommendations 1044285651812839424 .71 .06 0 15 229 21 30398
booklover 1044285651812839424 .77 .03 0 7 229 9 30398
Novel 1044285651812839424 1.00 .01 0 4 229 4 30398
Books 1044285651812839424 .53 .03 0 7 229 13 30398
Addiction 1044285651812839424 .25 0 0 1 229 4 30398
addictionrecovery 1044285651812839424 1.00 0 0 1 229 1 30398
books 1044285651812839424 .69 .22 0 51 229 73 30398
book 1044285651812839424 .60 .53 0 122 229 202 30398
novel 1044285651812839424 .90 .04 0 10 229 11 30398
novels 1044285651812839424 1.00 .01 0 4 229 4 30398
writerslift 1044285651812839424 .66 .14 0 34 229 51 30398
writer 1044285651812839424 .65 .27 0 62 229 94 30398
writers 1044285651812839424 .67 .23 0 54 229 80 30398
selfpublishing 1044285651812839424 1.00 0 0 1 229 1 30398
fantasy 1044285651812839424 .65 .09 0 21 229 32 30398
fantasybooks 1044285651812839424 .75 .01 0 3 229 4 30398
scifi 1044285651812839424 .71 .06 0 15 229 21 30398
scifibooks 1044285651812839424 1.00 .01 0 3 229 3 30398
sciencefiction 1044285651812839424 .50 0 0 1 229 2 30398
horror 1044285651812839424 .75 .03 0 9 229 12 30398
horrorbooks 1044285651812839424 1.00 0 0 1 229 1 30398
writingcommunity 1044285651812839424 .90 .04 0 10 229 11 30398
writerscommunity 1044285651812839424 .57 .01 0 4 229 7 30398
readerscommunity 1044285651812839424 .66 .02 0 6 229 9 30398
reader 1044285651812839424 .48 .05 0 12 229 25 30398
Elves 1044285651812839424 1.00 0 0 1 229 1 30398
dragons 1044285651812839424 .50 0 0 1 229 2 30398
demons 1044285651812839424 .50 0 0 1 229 2 30398
fantasy 1044285651812839424 .65 .09 0 21 229 32 30398
indiepub 1044285651812839424 1.00 0 0 1 229 1 30398
scifi 1044285651812839424 .71 .06 0 15 229 21 30398
fantasy 1044285651812839424 .65 .09 0 21 229 32 30398
patreoncreator 1044285651812839424 1.00 0 0 1 229 1 30398
writerscommunity 1044285651812839424 .57 .01 0 4 229 7 30398
bookcommunity 1044285651812839424 .50 0 0 1 229 2 30398
erotica 1044285651812839424 1.00 .04 0 11 229 11 30398
hentai 1044285651812839424 1.00 0 0 1 229 1 30398
PossessionFantasy 1044285651812839424 1.00 0 0 1 229 1 30398
amwriting 1044285651812839424 .41 .02 0 5 229 12 30398
writercommunity 1044285651812839424 .50 0 0 2 229 4 30398
author 1044285651812839424 .33 .07 0 17 229 51 30398
authorlife 1044285651812839424 .66 0 0 2 229 3 30398
writer 1044285651812839424 .65 .27 0 62 229 94 30398
BookRecommendations 1044285651812839424 .71 .06 0 15 229 21 30398
booklover 1044285651812839424 .77 .03 0 7 229 9 30398
books 1044285651812839424 .69 .22 0 51 229 73 30398
WritingCommunity 1044285651812839424 .45 .14 0 33 229 72 30398
kindlevella 1044285651812839424 .16 .01 0 3 229 18 30398
Reviews 1044285651812839424 1.00 0 0 1 229 1 30398
mentalhealth 1044285651812839424 .46 .05 0 12 229 26 30398
writerslift 1044285651812839424 .66 .14 0 34 229 51 30398
KindleVella 1044285651812839424 .75 .01 0 3 229 4 30398
KindleUnlimited 1044285651812839424 .62 .09 0 22 229 35 30398
Audible 1044285651812839424 .33 0 0 1 229 3 30398
KindleUnlimited 1044285651812839424 .62 .09 0 22 229 35 30398
KindleVella 1044285651812839424 .75 .01 0 3 229 4 30398
readingcommunity 1044285651812839424 .80 .05 0 12 229 15 30398
Romance 1044285651812839424 .72 .05 0 13 229 18 30398
RomanceReaders 1044285651812839424 1.00 0 0 1 229 1 30398
BookTwitter 1044285651812839424 .39 .03 0 9 229 23 30398
bookworm 1044285651812839424 1.00 0 0 1 229 1 30398
booknerd 1044285651812839424 1.00 0 0 1 229 1 30398
Kindle 1044285651812839424 .67 .17 0 40 229 59 30398
ebook 1044285651812839424 .51 .10 0 25 229 49 30398
Reading 1044285651812839424 .63 .03 0 7 229 11 30398
Romancebooks 1044285651812839424 1.00 0 0 1 229 1 30398
kindlevella 1044285651812839424 .16 .01 0 3 229 18 30398
Romance 1044285651812839424 .72 .05 0 13 229 18 30398
scifi 1044285651812839424 .71 .06 0 15 229 21 30398
fantasy 1044285651812839424 .65 .09 0 21 229 32 30398
erotica 1044285651812839424 1.00 .04 0 11 229 11 30398
indieauthor 1044285651812839424 .20 .03 0 7 229 34 30398
comicbooksforkids 1044285651812839424 1.00 0 0 1 229 1 30398
comic 1044285651812839424 .75 .06 0 15 229 20 30398
writerslift 1044285651812839424 .66 .14 0 34 229 51 30398
WritingCommunity 1044285651812839424 .45 .14 0 33 229 72 30398
